char	fast	libc	difference
0	20.910ms	287.051ms	13.73x faster
1	20.858ms	286.996ms	13.76x faster
2	20.858ms	286.496ms	13.74x faster
3	20.863ms	286.483ms	13.73x faster
4	20.865ms	286.482ms	13.73x faster
5	20.860ms	286.469ms	13.73x faster
6	20.854ms	286.490ms	13.74x faster
7	20.863ms	287.087ms	13.76x faster
8	20.862ms	286.469ms	13.73x faster
9	20.862ms	286.467ms	13.73x faster
10	20.869ms	412.885ms	19.78x faster
11	20.828ms	286.717ms	13.77x faster
12	20.924ms	286.938ms	13.71x faster
13	20.932ms	700.138ms	33.45x faster
14	20.830ms	287.442ms	13.80x faster
15	20.887ms	286.732ms	13.73x faster
16	20.865ms	286.569ms	13.73x faster
17	20.862ms	286.516ms	13.73x faster
18	20.872ms	286.823ms	13.74x faster
19	20.920ms	287.168ms	13.73x faster
20	20.586ms	286.785ms	13.93x faster
21	20.583ms	286.755ms	13.93x faster
22	20.554ms	286.716ms	13.95x faster
23	20.585ms	286.762ms	13.93x faster
24	20.531ms	286.738ms	13.97x faster
25	20.515ms	286.682ms	13.97x faster
26	20.520ms	286.796ms	13.98x faster
27	20.507ms	287.495ms	14.02x faster
28	20.540ms	287.356ms	13.99x faster
29	20.549ms	287.639ms	14.00x faster
30	20.518ms	288.257ms	14.05x faster
31	20.880ms	286.481ms	13.72x faster
32	20.909ms	1559.195ms	74.57x faster
33	20.882ms	568.087ms	27.21x faster
34	20.520ms	619.781ms	30.20x faster
35	20.586ms	286.926ms	13.94x faster
36	20.537ms	572.065ms	27.86x faster
37	20.522ms	568.360ms	27.70x faster
38	20.539ms	515.757ms	25.11x faster
39	20.591ms	589.294ms	28.62x faster
40	20.585ms	572.993ms	27.84x faster
41	20.574ms	573.128ms	27.86x faster
42	20.618ms	565.032ms	27.41x faster
43	20.596ms	287.097ms	13.94x faster
44	20.497ms	658.289ms	32.12x faster
45	20.497ms	585.296ms	28.55x faster
46	20.869ms	640.479ms	30.69x faster
47	20.830ms	573.386ms	27.53x faster
48	20.495ms	572.920ms	27.95x faster
49	20.503ms	573.380ms	27.97x faster
50	20.502ms	572.005ms	27.90x faster
51	20.498ms	571.511ms	27.88x faster
52	20.492ms	571.958ms	27.91x faster
53	20.815ms	572.757ms	27.52x faster
54	20.496ms	571.836ms	27.90x faster
55	20.508ms	571.756ms	27.88x faster
56	20.499ms	573.334ms	27.97x faster
57	20.825ms	571.890ms	27.46x faster
58	20.827ms	574.125ms	27.57x faster
59	20.828ms	565.392ms	27.15x faster
60	20.828ms	286.480ms	13.75x faster
61	20.830ms	286.485ms	13.75x faster
62	20.824ms	286.478ms	13.76x faster
63	20.821ms	570.738ms	27.41x faster
64	20.861ms	571.993ms	27.42x faster
65	20.829ms	581.782ms	27.93x faster
66	20.825ms	578.915ms	27.80x faster
67	20.834ms	576.085ms	27.65x faster
68	20.824ms	575.746ms	27.65x faster
69	20.827ms	576.123ms	27.66x faster
70	20.824ms	575.824ms	27.65x faster
71	20.828ms	575.903ms	27.65x faster
72	20.828ms	585.748ms	28.12x faster
73	20.825ms	613.638ms	29.47x faster
74	20.830ms	565.890ms	27.17x faster
75	20.829ms	572.339ms	27.48x faster
76	20.826ms	576.729ms	27.69x faster
77	20.831ms	581.320ms	27.91x faster
78	20.821ms	576.159ms	27.67x faster
79	20.827ms	576.273ms	27.67x faster
80	20.830ms	576.153ms	27.66x faster
81	20.831ms	569.679ms	27.35x faster
82	20.829ms	575.332ms	27.62x faster
83	20.859ms	581.659ms	27.89x faster
84	20.863ms	585.564ms	28.07x faster
85	20.863ms	573.809ms	27.50x faster
86	20.861ms	571.962ms	27.42x faster
87	20.862ms	580.992ms	27.85x faster
88	20.859ms	570.027ms	27.33x faster
89	20.856ms	575.440ms	27.59x faster
90	20.861ms	338.646ms	16.23x faster
91	20.857ms	286.692ms	13.75x faster
92	20.858ms	286.485ms	13.74x faster
93	20.862ms	286.698ms	13.74x faster
94	20.860ms	286.464ms	13.73x faster
95	20.857ms	286.473ms	13.73x faster
96	20.857ms	286.456ms	13.73x faster
97	20.862ms	947.689ms	45.43x faster
98	20.860ms	637.988ms	30.58x faster
99	20.922ms	687.661ms	32.87x faster
100	20.873ms	774.900ms	37.12x faster
101	20.876ms	1157.403ms	55.44x faster
